jday,mjd,filter,instrument,system,obsmag,obsmagerr,mag,magerr,limmag,fnu,fnuerr,amag,amagerr,snr,source
2458204.9027315,58204.4027,g,P48+ZTF,PS1,,0.0,,0.0,19.90770603243636,-3.853554230495521e-28,4.8429825572790177e-29,,0.0,-8.85122480845987,forced
2458204.926412,58204.4264,g,P48+ZTF,PS1,,0.0,,0.0,19.96570603243636,-5.049275093562005e-28,4.4230368823944506e-29,,0.0,-12.698817234711,forced
2458204.9461343,58204.4461,g,P48+ZTF,PS1,,0.0,,0.0,20.048206032436358,-4.404942869167611e-28,4.3474124761609855e-29,,0.0,-11.271046300509699,forced
2458204.9731481,58204.4731,g,P48+ZTF,PS1,,0.0,,0.0,20.75620603243636,-4.8009871532254115e-28,2.2483599241095106e-29,,0.0,-23.7530569138293,forced
2458205.0027778,58204.5027,g,P48+ZTF,PS1,,0.0,,0.0,20.619406032436363,-4.83117056012467e-28,2.6755291766721695e-29,,0.0,-20.086185996374894,forced
2458205.9054398,58205.4054,g,P48+ZTF,PS1,,0.0,,0.0,19.20470603243636,-5.131852092536746e-28,9.84554488414215e-29,,0.0,-5.79814638303979,forced
2458205.9258449,58205.4258,g,P48+ZTF,PS1,,0.0,,0.0,17.97130603243636,-1.6566465262023167e-29,3.0640226731098902e-28,,0.0,-0.0601440515493685,forced
2458205.9431829,58205.4431,g,P48+ZTF,PS1,,0.0,,0.0,19.74870603243636,-5.0417087088112665e-28,5.794393076698707e-29,,0.0,-9.678868689631681,forced
2458205.9687153,58205.4687,g,P48+ZTF,PS1,,0.0,,0.0,20.13490603243636,-4.7240927855118865e-28,4.227240846188627e-29,,0.0,-12.431290852792197,forced
2458205.988206,58205.4882,g,P48+ZTF,PS1,,0.0,,0.0,20.06610603243636,-4.7534808527643325e-28,4.080104537411339e-29,,0.0,-12.959709288769501,forced
2458206.0064352,58205.5064,g,P48+ZTF,PS1,,0.0,,0.0,20.65700603243636,-4.964045209860416e-28,2.464301712282195e-29,,0.0,-22.4076674458069,forced
2458206.1136990003,58205.613699,o,ATLAS,ATLAS,21.131,1.375,21.10091229437133,1.3750000000000002,19.27991229437132,1.3365291478536798e-28,1.850578820105096e-28,-16.139087705628675,1.3750000000000002,0.7222222222222222,forced
2458206.1159650004,58205.615965,o,ATLAS,ATLAS,20.69,0.691,20.659912294371324,0.691,19.309912294371323,1.9533887545553785e-28,1.33652914785368e-28,-16.580087705628678,0.691,1.4615384615384617,forced
2458206.125253,58205.625253,o,ATLAS,ATLAS,-23.939,19.333,,0.0,19.259912294371322,-1.0280993445028306e-29,1.953388754555379e-28,,0.0,-0.05263157894736842,forced
2458206.1377520002,58205.637752,o,ATLAS,ATLAS,-20.051,0.491,,0.0,19.249912294371324,-3.5983477057599084e-28,1.7477688856548124e-28,,0.0,-2.0588235294117645,forced
2458206.1400619997,58205.640062,o,ATLAS,ATLAS,22.201,3.083,22.170912294371323,3.083000000000001,19.229912294371324,5.140496722514154e-29,1.542149016754246e-28,-15.069087705628679,3.083000000000001,0.3333333333333333,forced
2458206.150336,58205.650336,o,ATLAS,ATLAS,-18.918,0.53,,0.0,17.969912294371323,-1.0075373576127743e-27,5.346116591414722e-28,,0.0,-1.8846153846153848,forced
2458206.9040278,58206.404,g,P48+ZTF,PS1,,0.0,,0.0,19.81890603243636,-4.664813489391023e-28,5.475381891181337e-29,,0.0,-9.4770826925216,forced
2458206.9049769,58206.4049,g,P48+ZTF,PS1,,0.0,,0.0,19.82150603243636,-4.733713236600133e-28,5.214820491560537e-29,,0.0,-10.097581867730401,forced
2458206.9221991003,58206.4221,g,P48+ZTF,PS1,,0.0,,0.0,19.82340603243636,-5.0175986610895605e-28,5.234460039513649e-29,,0.0,-10.662985857029303,forced
2458206.9523148,58206.4523,g,P48+ZTF,PS1,,0.0,,0.0,19.930906032436358,-5.223910379083873e-28,4.7589099382156496e-29,,0.0,-12.210769487753,forced
2458206.9652778,58206.4652,g,P48+ZTF,PS1,,0.0,,0.0,19.993606032436357,-5.617709435087108e-28,4.851093980698214e-29,,0.0,-12.881735725913401,forced
2458206.9806829,58206.4806,g,P48+ZTF,PS1,,0.0,,0.0,20.044606032436363,-5.200887089808108e-28,4.8527617920686675e-29,,0.0,-11.9218390107417,forced
