jday,mjd,filter,instrument,system,obsmag,obsmagerr,mag,magerr,limmag,fnu,fnuerr,amag,amagerr,snr,source
2458206.6675231005,58206.1675,g,P48+ZTF,PS1,,0.0,,0.0,19.48592145773605,-2.1355373568481286e-29,7.963879406530056e-29,,0.0,-0.29828904172707205,forced
2458206.7524884,58206.2524,g,P48+ZTF,PS1,,0.0,,0.0,19.26342145773605,-9.11334461295444e-29,9.83422109117259e-29,,0.0,-1.03084323776559,forced
2458210.6956481,58210.1956,g,P48+ZTF,PS1,,0.0,,0.0,19.17652145773605,-1.183135948291566e-28,1.114998911415479e-28,,0.0,-1.18036142449119,forced
2458210.7542245,58210.2542,g,P48+ZTF,PS1,21.41119779628897,1.0639225275422637,21.18051925402501,1.0639225275422637,19.08862145773605,1.2240306658220557e-28,1.199438495339436e-28,-15.509480745974985,1.0639225275422637,1.1351914626846398,forced
2458214.6759606004,58214.1759,r,P48+ZTF,PS1,20.79166041630107,1.4861015063380003,20.618671784313623,1.4861015063380003,18.12991136801255,2.0536729663105657e-28,2.810965016534244e-28,-16.071328215686382,1.4861015063380003,0.812700724057507,forced
2458217.6825231,58217.1825,r,P48+ZTF,PS1,,0.0,,0.0,18.20751136801255,-7.174218822736616e-29,3.0401649071936636e-28,,0.0,-0.262501795647762,forced
2458217.6941551003,58217.1941,r,P48+ZTF,PS1,,0.0,,0.0,19.41081136801255,-9.845546741667716e-29,8.329163318844317e-29,,0.0,-1.31490162345174,forced
2458223.6626505,58223.1626,r,P48+ZTF,PS1,,0.0,,0.0,20.35601136801255,-2.22166751417958e-29,3.695899642327363e-29,,0.0,-0.668672859006773,forced
2458223.6831481005,58223.1831,r,P48+ZTF,PS1,22.909798200070767,1.6235135226928048,22.736809568083316,1.623513522692805,20.25561136801255,2.9192828287978153e-29,4.3652363514708245e-29,-13.953190431916685,1.623513522692805,0.743914820136902,forced
2458227.6591782,58227.1591,r,P48+ZTF,PS1,23.28761433716255,2.6771179695054457,23.114625705175094,2.6771179695054483,19.993011368012546,2.0613404137303077e-29,5.082681629921834e-29,-13.5753742948249,2.6771179695054483,0.451140287421461,forced
2458227.6884028,58227.1884,g,P48+ZTF,PS1,,0.0,,0.0,20.24852145773605,-3.103852360899937e-29,4.2957229689814546e-29,,0.0,-0.8037474172609841,forced
2458232.6520718,58232.152,g,P48+ZTF,PS1,19.651502294647678,0.5974879162207373,19.42082375238373,0.5974879162207375,17.66712145773605,6.189712809053811e-28,3.406240477271583e-28,-17.26917624761627,0.5974879162207375,2.02138944978704,forced
2458232.6945139,58232.1945,r,P48+ZTF,PS1,,0.0,,0.0,16.635311368012545,-2.964651558729211e-28,8.383793645143044e-28,,0.0,-0.3933579012043929,forced
2458235.6976736,58235.1976,g,P48+ZTF,PS1,27.07678524454413,123.8850038382192,26.846106702280178,123.8850038382192,19.54912145773605,6.6306685483681204e-31,7.565745666071225e-29,-9.84389329771982,123.8850038382192,0.009749007004924079,forced
2458238.6639005,58238.1639,g,P48+ZTF,PS1,23.033344881939488,4.994123220697223,22.802666339675536,4.9941232206972215,18.96822145773605,2.747473195591733e-29,1.2637710361150358e-28,-13.887333660324463,4.9941232206972215,0.241835396695564,forced
2458243.6553704,58243.1553,r,P48+ZTF,PS1,21.512303421602656,0.4490069523024955,21.339314789615198,0.4490069523024955,20.00631136801255,1.057484679453461e-28,4.3732351463195014e-29,-15.350685210384796,0.4490069523024955,2.68983757162446,forced
2458243.7082292004,58243.2082,g,P48+ZTF,PS1,,0.0,,0.0,19.415221457736045,-6.10847999829812e-29,7.049273446998878e-29,,0.0,-0.963925789270448,forced
2458249.6862269,58249.1862,g,P48+ZTF,PS1,24.412273026442126,8.087272940564338,24.18159448417818,8.087272940564338,19.870521457736047,7.71546679139989e-30,5.746983984918448e-29,-12.508405515821815,8.087272940564338,0.149340300383081,forced
2458263.6726273,58263.1726,r,P48+ZTF,PS1,,0.0,,0.0,19.75391136801255,-1.2404521197385138e-28,6.150387201983824e-29,,0.0,-2.24353241518493,forced
2458369.9967708,58369.4967,g,P48+ZTF,PS1,21.901579487936303,0.6597411161239038,21.670900945672354,0.6597411161239041,20.05482145773605,7.791832746363525e-29,4.734660601910967e-29,-15.019099054327645,0.6597411161239041,1.83065105494656,forced
2458373.0160648,58372.515999999996,r,P48+ZTF,PS1,22.15614147320693,1.2485104191427805,21.983152841219482,1.2485104191427805,19.60461136801255,5.844385620027043e-29,6.720579371042997e-29,-14.70684715878052,1.2485104191427805,0.9673573818095008,forced
2458375.9689815,58375.4689,g,P48+ZTF,PS1,,0.0,,0.0,20.001621457736046,-4.61656524655349e-29,4.337795050488156e-29,,0.0,-1.18387200273575,forced
2458376.0147338,58375.5147,r,P48+ZTF,PS1,22.659044236447798,1.3794082034095427,22.486055604460343,1.379408203409543,20.031911368012548,3.6777123505093445e-29,4.672466998743321e-29,-14.203944395539652,1.379408203409543,0.87556081458598,forced
2458378.9938310003,58378.4938,g,P48+ZTF,PS1,,0.0,,0.0,20.11772145773605,-9.491224934496319e-30,4.2325691351912817e-29,,0.0,-0.249443968007871,forced
2458379.0088773,58378.5088,r,P48+ZTF,PS1,,0.0,,0.0,20.07091136801255,-6.145127240936064e-30,4.099632005457184e-29,,0.0,-0.16674038730248802,forced
2458383.0234259,58382.5234,r,P48+ZTF,PS1,22.98179225932705,1.851262735227697,22.8088036273396,1.851262735227697,19.99931136801255,2.7319865006155643e-29,4.658244589772526e-29,-13.881196372660398,1.851262735227697,0.6523956579698,forced
