date jdobs filter absmag mag emag limmag instrument
2019-02-20T04:48:17.713 2458534.7002050118 J -17.01849947105062 19.443 0.08 22.0 P200+WIRC
2019-03-16T06:58:12.962 2458558.7904278007 Ks nan 99.0 99.0 20.547 P200+WIRC
2019-03-16T07:33:37.611 2458558.815018646 J -15.621499471050623 20.84 0.295 22.0 P200+WIRC
2019-04-13T04:42:45.460 2458586.6963594905 Ks nan 99.0 99.0 21.545 P200+WIRC
2019-04-13T05:02:12.807 2458586.7098704516 J -14.939499471050624 21.522 0.293 22.0 P200+WIRC
2019-05-13T03:48:33.760 2458616.6587240743 J nan 99.0 99.0 21.811 P200+WIRC
2019-05-13T04:05:45.708 2458616.6706679165 Ks nan 99.0 99.0 20.952 P200+WIRC
2019-11-05T10:49:17.192 2458792.950893426 J nan 99.0 99.0 21.767 P200+WIRC
2019-11-05T11:02:23.745 2458792.9599970486 Ks nan 99.0 99.0 21.776 P200+WIRC
