date jdobs filter absmag mag emag limmag instrument
2020-09-29T04:28:57.569 2459121.686777419 Ks -16.403845276319693 19.027 0.051 22.0 P200+WIRC
2020-09-29T04:39:43.869 2459121.694257743 H -16.924845276319694 18.506 0.028 22.0 P200+WIRC
2020-09-29T04:47:26.967 2459121.6996176736 J -17.476845276319693 17.954 0.016 22.0 P200+WIRC
2020-10-29T03:35:01.364 2459151.649321343 Ks -15.681845276319695 19.749 0.109 22.0 P200+WIRC
2020-10-29T03:46:02.364 2459151.6569718057 H -15.803845276319695 19.627 0.103 22.0 P200+WIRC
2020-10-29T03:53:58.214 2459151.662479329 J -16.041845276319695 19.389 0.06 22.0 P200+WIRC
2021-02-04T13:12:58.957 2459250.050682373 J nan 99.0 99.0 20.377 P200+WIRC
2021-02-04T13:27:11.458 2459250.0605492825 H nan 99.0 99.0 20.606 P200+WIRC
