date jdobs filter absmag mag emag limmag instrument
2021-03-30T11:22:32.852 2459303.973991343 H -15.011125476587353 19.399 0.029 22.0 P200+WIRC
2021-03-30T11:34:39.005 2459303.982395891 Ks -14.242125476587354 20.168 0.04 22.0 P200+WIRC
2021-03-30T11:45:15.153 2459303.9897587155 J -15.718125476587353 18.692 0.016 22.0 P200+WIRC
2021-05-28T06:41:07.500 2459362.7785590277 J -14.069125476587352 20.341 0.179 22.0 P200+WIRC
2021-05-28T06:50:15.098 2459362.7848969675 H nan 99.0 99.0 20.915 P200+WIRC
2021-05-28T06:57:47.846 2459362.7901371066 Ks nan 99.0 99.0 20.477 P200+WIRC
2021-06-25T05:02:35.342 2459390.710131273 J nan 99.0 99.0 20.792 P200+WIRC
2021-06-25T05:14:13.645 2459390.7182134837 H nan 99.0 99.0 20.798 P200+WIRC
